ID,RA,DEC,Major axis size
M24,18h16m48s,-18°33′00″,90
M34,02h42m05s,+42°45′43″,25
M35,06h08m54s,+24°19′59″,25
M36,05h36m18s,+34°08′24″,10
M37,05h52m18s,+32°33′11″,15
M38,05h28m43s,+35°51′18″,15
M39,21h31m48s,+48°25′59″,31
M40,12h22m13s,+58°04′59″,0
M41,06h46m01s,-20°45′25″,39
M42,05h35m17s,-05°23′28″,90
M43,05h35m31s,-05°16′12″,20
M44,08h40m24s,+19°40′01″,70
M45,03h47m60s,+24°07′01″,110
M46,07h41m46s,-14°48′36″,20
M47,07h36m35s,-14°28′59″,25
M48,08h13m43s,-05°45′00″,30
M49,12h29m47s,+08°00′01″,10
M50,07h02m47s,-08°20′16″,15
M51,13h29m53s,+47°11′43″,11
M52,23h24m48s,+61°35′35″,16
M53,13h12m55s,+18°10′05″,13
M54,18h55m03s,-30°28′47″,12
M55,19h39m60s,-30°57′53″,19
M56,19h16m36s,+30°11′00″,9
M57,18h53m35s,+33°01′45″,4
M58,12h37m44s,+11°49′05″,10
M59,12h42m02s,+11°38′49″,5
M60,12h43m40s,+11°33′09″,7
M61,12h21m55s,+04°28′25″,10
M62,17h01m13s,-30°06′44″,15
M63,13h15m49s,+42°01′45″,13
M64,12h56m44s,+21°40′58″,10
M65,11h18m56s,+13°05′32″,9
M66,11h20m15s,+12°59′29″,9
M67,08h51m18s,+11°48′00″,25
M68,12h39m28s,-26°44′39″,11
M69,18h31m23s,-32°20′53″,8
M70,18h43m13s,-32°17′32″,8
M71,19h53m46s,+18°46′45″,7
M72,20h53m28s,-12°32′14″,7
M73,20h59m00s,-12°37′48″,3
M74,01h36m42s,+15°47′00″,11
M75,20h06m05s,-21°55′20″,7
M76,01h42m20s,+51°34′31″,3
M77,02h42m41s,-00°00′48″,7
M78,05h46m47s,+00°00′50″,8
M79,05h24m11s,-24°31′27″,10
M80,16h17m02s,-22°58′34″,10
M81,09h55m33s,+69°03′55″,27
M82,09h55m52s,+69°40′47″,11
M83,13h37m01s,-29°51′57″,13
M84,12h25m04s,+12°53′13″,7
M85,12h25m24s,+18°11′28″,7
M86,12h26m12s,+12°56′45″,9
M87,12h30m49s,+12°23′28″,7
M88,12h31m59s,+14°25′13″,7
M89,12h35m40s,+12°33′22″,5
M90,12h36m50s,+13°09′46″,10
M91,12h35m26s,+14°29′47″,5
M92,17h17m07s,+43°08′09″,14
M93,07h44m30s,-23°51′25″,10
M94,12h50m53s,+41°07′13″,11
M95,10h43m58s,+11°42′13″,3
M96,10h46m46s,+11°49′12″,8
M97,11h14m48s,+55°01′09″,3
M98,12h13m48s,+14°54′02″,10
M99,12h18m50s,+14°24′59″,5
M100,12h22m55s,+15°49′21″,7
M101,14h03m13s,+54°20′56″,29
M102,15h06m30s,+55°45′48″,7
M103,01h33m23s,+60°38′60″,6
M104,12h39m59s,-11°37′23″,9
M105,10h47m50s,+12°34′54″,5
M106,12h18m58s,+47°18′13″,19
M107,16h32m32s,-13°03′14″,13
M108,11h11m31s,+55°40′27″,9
M109,11h57m36s,+53°22′28″,8
M110,00h40m22s,+41°41′07″,22